,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,9.0,0.0,2020-03-31
1,Allegheny,325.0,2.0,2020-03-31
2,Armstrong,5.0,0.0,2020-03-31
3,Beaver,52.0,1.0,2020-03-31
4,Bedford,2.0,0.0,2020-03-31
5,Berks,110.0,0.0,2020-03-31
6,Blair,4.0,0.0,2020-03-31
7,Bradford,7.0,0.0,2020-03-31
8,Bucks,286.0,3.0,2020-03-31
9,Butler,60.0,2.0,2020-03-31
10,Cambria,2.0,0.0,2020-03-31
11,Cameron,1.0,0.0,2020-03-31
12,Carbon,17.0,1.0,2020-03-31
13,Centre,26.0,0.0,2020-03-31
14,Chester,159.0,1.0,2020-03-31
15,Clarion,3.0,0.0,2020-03-31
16,Clearfield,4.0,0.0,2020-03-31
17,Clinton,0.0,0.0,2020-03-31
18,Columbia,7.0,0.0,2020-03-31
19,Crawford,4.0,0.0,2020-03-31
20,Cumberland,36.0,1.0,2020-03-31
21,Dauphin,45.0,1.0,2020-03-31
22,Delaware,338.0,5.0,2020-03-31
23,Elk,0.0,0.0,2020-03-31
24,Erie,14.0,0.0,2020-03-31
25,Fayette,14.0,0.0,2020-03-31
26,Forest,0.0,0.0,2020-03-31
27,Franklin,19.0,0.0,2020-03-31
28,Fulton,0.0,0.0,2020-03-31
29,Greene,9.0,0.0,2020-03-31
30,Huntingdon,1.0,0.0,2020-03-31
31,Indiana,6.0,0.0,2020-03-31
32,Jefferson,0.0,0.0,2020-03-31
33,Juniata,3.0,0.0,2020-03-31
34,Lackawanna,78.0,3.0,2020-03-31
35,Lancaster,123.0,3.0,2020-03-31
36,Lawrence,13.0,2.0,2020-03-31
37,Lebanon,28.0,0.0,2020-03-31
38,Lehigh,272.0,4.0,2020-03-31
39,Luzerne,212.0,4.0,2020-03-31
40,Lycoming,6.0,0.0,2020-03-31
41,McKean,0.0,0.0,2020-03-31
42,Mercer,8.0,0.0,2020-03-31
43,Mifflin,2.0,0.0,2020-03-31
44,Monroe,236.0,7.0,2020-03-31
45,Montgomery,570.0,6.0,2020-03-31
46,Montour,9.0,0.0,2020-03-31
47,Northampton,245.0,5.0,2020-03-31
48,Northumberland,1.0,0.0,2020-03-31
49,Perry,1.0,0.0,2020-03-31
50,Philadelphia,1197.0,10.0,2020-03-31
51,Pike,48.0,1.0,2020-03-31
52,Potter,2.0,0.0,2020-03-31
53,Schuylkill,38.0,0.0,2020-03-31
54,Snyder,2.0,1.0,2020-03-31
55,Somerset,2.0,0.0,2020-03-31
56,Sullivan,0.0,0.0,2020-03-31
57,Susquehanna,1.0,0.0,2020-03-31
58,Tioga,2.0,0.0,2020-03-31
59,Union,4.0,0.0,2020-03-31
60,Venango,3.0,0.0,2020-03-31
61,Warren,1.0,0.0,2020-03-31
62,Washington,33.0,0.0,2020-03-31
63,Wayne,10.0,0.0,2020-03-31
64,Westmoreland,61.0,0.0,2020-03-31
65,Wyoming,0.0,0.0,2020-03-31
66,York,66.0,0.0,2020-03-31
