,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,19.0,0.0,2020-04-03
1,Allegheny,476.0,2.0,2020-04-03
2,Armstrong,11.0,0.0,2020-04-03
3,Beaver,65.0,2.0,2020-04-03
4,Bedford,3.0,0.0,2020-04-03
5,Berks,201.0,1.0,2020-04-03
6,Blair,4.0,0.0,2020-04-03
7,Bradford,9.0,0.0,2020-04-03
8,Bucks,446.0,8.0,2020-04-03
9,Butler,75.0,2.0,2020-04-03
10,Cambria,4.0,0.0,2020-04-03
11,Cameron,1.0,0.0,2020-04-03
12,Carbon,34.0,1.0,2020-04-03
13,Centre,32.0,0.0,2020-04-03
14,Chester,226.0,2.0,2020-04-03
15,Clarion,4.0,0.0,2020-04-03
16,Clearfield,5.0,0.0,2020-04-03
17,Clinton,1.0,0.0,2020-04-03
18,Columbia,15.0,0.0,2020-04-03
19,Crawford,5.0,0.0,2020-04-03
20,Cumberland,45.0,2.0,2020-04-03
21,Dauphin,79.0,1.0,2020-04-03
22,Delaware,542.0,10.0,2020-04-03
23,Elk,0.0,0.0,2020-04-03
24,Erie,17.0,0.0,2020-04-03
25,Fayette,20.0,1.0,2020-04-03
26,Forest,1.0,0.0,2020-04-03
27,Franklin,26.0,0.0,2020-04-03
28,Fulton,0.0,0.0,2020-04-03
29,Greene,11.0,0.0,2020-04-03
30,Huntingdon,3.0,0.0,2020-04-03
31,Indiana,7.0,0.0,2020-04-03
32,Jefferson,0.0,0.0,2020-04-03
33,Juniata,5.0,0.0,2020-04-03
34,Lackawanna,119.0,4.0,2020-04-03
35,Lancaster,232.0,5.0,2020-04-03
36,Lawrence,19.0,2.0,2020-04-03
37,Lebanon,54.0,0.0,2020-04-03
38,Lehigh,584.0,5.0,2020-04-03
39,Luzerne,484.0,5.0,2020-04-03
40,Lycoming,8.0,0.0,2020-04-03
41,McKean,0.0,0.0,2020-04-03
42,Mercer,10.0,0.0,2020-04-03
43,Mifflin,2.0,0.0,2020-04-03
44,Monroe,397.0,10.0,2020-04-03
45,Montgomery,875.0,11.0,2020-04-03
46,Montour,16.0,0.0,2020-04-03
47,Northampton,466.0,10.0,2020-04-03
48,Northumberland,8.0,0.0,2020-04-03
49,Perry,4.0,1.0,2020-04-03
50,Philadelphia,2284.0,14.0,2020-04-03
51,Pike,83.0,1.0,2020-04-03
52,Potter,2.0,0.0,2020-04-03
53,Schuylkill,63.0,0.0,2020-04-03
54,Snyder,4.0,1.0,2020-04-03
55,Somerset,3.0,0.0,2020-04-03
56,Sullivan,0.0,0.0,2020-04-03
57,Susquehanna,4.0,0.0,2020-04-03
58,Tioga,3.0,0.0,2020-04-03
59,Union,3.0,0.0,2020-04-03
60,Venango,3.0,0.0,2020-04-03
61,Warren,1.0,0.0,2020-04-03
62,Washington,40.0,0.0,2020-04-03
63,Wayne,23.0,0.0,2020-04-03
64,Westmoreland,110.0,0.0,2020-04-03
65,Wyoming,2.0,0.0,2020-04-03
66,York,121.0,1.0,2020-04-03
