,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,1144.0,74.0,2020-04-19
1,Allegheny,0.0,0.0,2020-04-19
2,Armstrong,1.0,0.0,2020-04-19
3,Beaver,1009.0,47.0,2020-04-19
4,Bedford,0.0,0.0,2020-04-19
5,Berks,10870.0,442.0,2020-04-19
6,Blair,36.0,278.0,2020-04-19
7,Bradford,0.0,0.0,2020-04-19
8,Bucks,2.0,0.0,2020-04-19
9,Butler,1603.0,1.0,2020-04-19
10,Cambria,0.0,0.0,2020-04-19
11,Cameron,31.0,3691.0,2020-04-19
12,Carbon,14.0,13.0,2020-04-19
13,Centre,0.0,0.0,2020-04-19
14,Chester,88.0,0.0,2020-04-19
15,Clarion,1748.0,0.0,2020-04-19
16,Clearfield,0.0,0.0,2020-04-19
17,Clinton,40.0,5291.0,2020-04-19
18,Columbia,605.0,160.0,2020-04-19
19,Crawford,0.0,0.0,2020-04-19
20,Cumberland,24.0,0.0,2020-04-19
21,Dauphin,367.0,1.0,2020-04-19
22,Delaware,0.0,0.0,2020-04-19
23,Elk,75.0,136.0,2020-04-19
24,Erie,1738.0,0.0,2020-04-19
25,Fayette,0.0,0.0,2020-04-19
26,Forest,5.0,1.0,2020-04-19
27,Franklin,17.0,3772.0,2020-04-19
28,Fulton,0.0,0.0,2020-04-19
29,Greene,445.0,18.0,2020-04-19
30,Huntingdon,1.0,0.0,2020-04-19
31,Indiana,0.0,0.0,2020-04-19
32,Jefferson,744.0,0.0,2020-04-19
33,Juniata,8.0,96.0,2020-04-19
34,Lackawanna,0.0,0.0,2020-04-19
35,Lancaster,73.0,184.0,2020-04-19
36,Lawrence,588.0,0.0,2020-04-19
37,Lebanon,0.0,0.0,2020-04-19
38,Lehigh,796.0,0.0,2020-04-19
39,Luzerne,36.0,825.0,2020-04-19
40,Lycoming,0.0,0.0,2020-04-19
41,McKean,370.0,343.0,2020-04-19
42,Mercer,1.0,0.0,2020-04-19
43,Mifflin,0.0,0.0,2020-04-19
44,Monroe,9.0,77.0,2020-04-19
45,Montgomery,314.0,109.0,2020-04-19
46,Montour,0.0,0.0,2020-04-19
47,Northampton,11.0,58.0,2020-04-19
48,Northumberland,146.0,0.0,2020-04-19
49,Perry,0.0,0.0,2020-04-19
50,Philadelphia,4.0,3.0,2020-04-19
51,Pike,16.0,21.0,2020-04-19
52,Potter,0.0,0.0,2020-04-19
53,Schuylkill,543.0,106.0,2020-04-19
54,Snyder,176.0,0.0,2020-04-19
55,Somerset,0.0,0.0,2020-04-19
56,Sullivan,4.0,0.0,2020-04-19
57,Susquehanna,2284.0,317.0,2020-04-19
58,Tioga,0.0,0.0,2020-04-19
59,Union,9.0,12.0,2020-04-19
60,Venango,2317.0,0.0,2020-04-19
61,Warren,0.0,0.0,2020-04-19
62,Washington,6047.0,4.0,2020-04-19
63,Wayne,2.0,240.0,2020-04-19
64,Westmoreland,0.0,0.0,2020-04-19
65,Wyoming,1271.0,66.0,2020-04-19
66,York,66.0,0.0,2020-04-19
