,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,8.0,0.0,2020-03-29
1,Allegheny,265.0,2.0,2020-03-29
2,Armstrong,3.0,0.0,2020-03-29
3,Beaver,28.0,0.0,2020-03-29
4,Bedford,0.0,0.0,2020-03-29
5,Berks,68.0,0.0,2020-03-29
6,Blair,3.0,0.0,2020-03-29
7,Bradford,3.0,0.0,2020-03-29
8,Bucks,203.0,1.0,2020-03-29
9,Butler,47.0,2.0,2020-03-29
10,Cambria,1.0,0.0,2020-03-29
11,Cameron,1.0,0.0,2020-03-29
12,Carbon,9.0,0.0,2020-03-29
13,Centre,22.0,0.0,2020-03-29
14,Chester,137.0,0.0,2020-03-29
15,Clarion,1.0,0.0,2020-03-29
16,Clearfield,2.0,0.0,2020-03-29
17,Clinton,0.0,0.0,2020-03-29
18,Columbia,6.0,0.0,2020-03-29
19,Crawford,3.0,0.0,2020-03-29
20,Cumberland,22.0,1.0,2020-03-29
21,Dauphin,35.0,0.0,2020-03-29
22,Delaware,276.0,4.0,2020-03-29
23,Elk,0.0,0.0,2020-03-29
24,Erie,7.0,0.0,2020-03-29
25,Fayette,10.0,0.0,2020-03-29
26,Forest,0.0,0.0,2020-03-29
27,Franklin,11.0,0.0,2020-03-29
28,Fulton,0.0,0.0,2020-03-29
29,Greene,6.0,0.0,2020-03-29
30,Huntingdon,1.0,0.0,2020-03-29
31,Indiana,2.0,0.0,2020-03-29
32,Jefferson,0.0,0.0,2020-03-29
33,Juniata,1.0,0.0,2020-03-29
34,Lackawanna,56.0,2.0,2020-03-29
35,Lancaster,67.0,2.0,2020-03-29
36,Lawrence,8.0,1.0,2020-03-29
37,Lebanon,19.0,0.0,2020-03-29
38,Lehigh,151.0,3.0,2020-03-29
39,Luzerne,94.0,2.0,2020-03-29
40,Lycoming,3.0,0.0,2020-03-29
41,McKean,0.0,0.0,2020-03-29
42,Mercer,7.0,0.0,2020-03-29
43,Mifflin,2.0,0.0,2020-03-29
44,Monroe,135.0,3.0,2020-03-29
45,Montgomery,488.0,5.0,2020-03-29
46,Montour,4.0,0.0,2020-03-29
47,Northampton,126.0,4.0,2020-03-29
48,Northumberland,1.0,0.0,2020-03-29
49,Perry,1.0,0.0,2020-03-29
50,Philadelphia,865.0,5.0,2020-03-29
51,Pike,33.0,1.0,2020-03-29
52,Potter,2.0,0.0,2020-03-29
53,Schuylkill,21.0,0.0,2020-03-29
54,Snyder,2.0,0.0,2020-03-29
55,Somerset,2.0,0.0,2020-03-29
56,Sullivan,0.0,0.0,2020-03-29
57,Susquehanna,1.0,0.0,2020-03-29
58,Tioga,1.0,0.0,2020-03-29
59,Union,0.0,0.0,2020-03-29
60,Venango,1.0,0.0,2020-03-29
61,Warren,1.0,0.0,2020-03-29
62,Washington,24.0,0.0,2020-03-29
63,Wayne,7.0,0.0,2020-03-29
64,Westmoreland,47.0,0.0,2020-03-29
65,Wyoming,0.0,0.0,2020-03-29
66,York,43.0,0.0,2020-03-29
