,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,64.0,1.0,2020-04-15
1,Allegheny,904.0,26.0,2020-04-15
2,Armstrong,29.0,1.0,2020-04-15
3,Beaver,158.0,14.0,2020-04-15
4,Bedford,9.0,1.0,2020-04-15
5,Berks,1335.0,28.0,2020-04-15
6,Blair,12.0,0.0,2020-04-15
7,Bradford,19.0,0.0,2020-04-15
8,Bucks,1300.0,51.0,2020-04-15
9,Butler,150.0,5.0,2020-04-15
10,Cambria,14.0,1.0,2020-04-15
11,Cameron,1.0,0.0,2020-04-15
12,Carbon,112.0,6.0,2020-04-15
13,Centre,72.0,0.0,2020-04-15
14,Chester,658.0,25.0,2020-04-15
15,Clarion,16.0,0.0,2020-04-15
16,Clearfield,9.0,0.0,2020-04-15
17,Clinton,8.0,0.0,2020-04-15
18,Columbia,131.0,3.0,2020-04-15
19,Crawford,16.0,0.0,2020-04-15
20,Cumberland,131.0,4.0,2020-04-15
21,Dauphin,271.0,5.0,2020-04-15
22,Delaware,1882.0,59.0,2020-04-15
23,Elk,2.0,0.0,2020-04-15
24,Erie,42.0,0.0,2020-04-15
25,Fayette,58.0,3.0,2020-04-15
26,Forest,5.0,0.0,2020-04-15
27,Franklin,78.0,0.0,2020-04-15
28,Fulton,2.0,0.0,2020-04-15
29,Greene,23.0,0.0,2020-04-15
30,Huntingdon,12.0,0.0,2020-04-15
31,Indiana,43.0,1.0,2020-04-15
32,Jefferson,2.0,0.0,2020-04-15
33,Juniata,47.0,0.0,2020-04-15
34,Lackawanna,527.0,26.0,2020-04-15
35,Lancaster,914.0,29.0,2020-04-15
36,Lawrence,55.0,5.0,2020-04-15
37,Lebanon,349.0,2.0,2020-04-15
38,Lehigh,1922.0,25.0,2020-04-15
39,Luzerne,1567.0,27.0,2020-04-15
40,Lycoming,30.0,0.0,2020-04-15
41,McKean,4.0,0.0,2020-04-15
42,Mercer,47.0,0.0,2020-04-15
43,Mifflin,15.0,0.0,2020-04-15
44,Monroe,872.0,28.0,2020-04-15
45,Montgomery,2475.0,82.0,2020-04-15
46,Montour,44.0,0.0,2020-04-15
47,Northampton,1251.0,25.0,2020-04-15
48,Northumberland,56.0,0.0,2020-04-15
49,Perry,17.0,1.0,2020-04-15
50,Philadelphia,7347.0,132.0,2020-04-15
51,Pike,268.0,7.0,2020-04-15
52,Potter,4.0,0.0,2020-04-15
53,Schuylkill,212.0,3.0,2020-04-15
54,Snyder,24.0,1.0,2020-04-15
55,Somerset,14.0,0.0,2020-04-15
56,Sullivan,1.0,0.0,2020-04-15
57,Susquehanna,40.0,1.0,2020-04-15
58,Tioga,13.0,1.0,2020-04-15
59,Union,23.0,0.0,2020-04-15
60,Venango,6.0,0.0,2020-04-15
61,Warren,1.0,0.0,2020-04-15
62,Washington,71.0,1.0,2020-04-15
63,Wayne,75.0,2.0,2020-04-15
64,Westmoreland,237.0,11.0,2020-04-15
65,Wyoming,13.0,0.0,2020-04-15
66,York,381.0,4.0,2020-04-15
