,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,56.0,1.0,2020-04-13
1,Allegheny,876.0,21.0,2020-04-13
2,Armstrong,28.0,1.0,2020-04-13
3,Beaver,153.0,13.0,2020-04-13
4,Bedford,5.0,1.0,2020-04-13
5,Berks,1150.0,21.0,2020-04-13
6,Blair,11.0,0.0,2020-04-13
7,Bradford,19.0,0.0,2020-04-13
8,Bucks,1177.0,36.0,2020-04-13
9,Butler,143.0,4.0,2020-04-13
10,Cambria,14.0,1.0,2020-04-13
11,Cameron,1.0,0.0,2020-04-13
12,Carbon,102.0,3.0,2020-04-13
13,Centre,70.0,0.0,2020-04-13
14,Chester,593.0,17.0,2020-04-13
15,Clarion,16.0,0.0,2020-04-13
16,Clearfield,9.0,0.0,2020-04-13
17,Clinton,8.0,0.0,2020-04-13
18,Columbia,113.0,3.0,2020-04-13
19,Crawford,16.0,0.0,2020-04-13
20,Cumberland,122.0,3.0,2020-04-13
21,Dauphin,240.0,4.0,2020-04-13
22,Delaware,1712.0,40.0,2020-04-13
23,Elk,2.0,0.0,2020-04-13
24,Erie,39.0,0.0,2020-04-13
25,Fayette,57.0,3.0,2020-04-13
26,Forest,5.0,0.0,2020-04-13
27,Franklin,66.0,0.0,2020-04-13
28,Fulton,1.0,0.0,2020-04-13
29,Greene,23.0,0.0,2020-04-13
30,Huntingdon,11.0,0.0,2020-04-13
31,Indiana,43.0,0.0,2020-04-13
32,Jefferson,2.0,0.0,2020-04-13
33,Juniata,39.0,0.0,2020-04-13
34,Lackawanna,459.0,21.0,2020-04-13
35,Lancaster,828.0,24.0,2020-04-13
36,Lawrence,51.0,4.0,2020-04-13
37,Lebanon,284.0,2.0,2020-04-13
38,Lehigh,1747.0,19.0,2020-04-13
39,Luzerne,1446.0,21.0,2020-04-13
40,Lycoming,28.0,0.0,2020-04-13
41,McKean,3.0,0.0,2020-04-13
42,Mercer,43.0,0.0,2020-04-13
43,Mifflin,17.0,0.0,2020-04-13
44,Monroe,816.0,24.0,2020-04-13
45,Montgomery,2285.0,65.0,2020-04-13
46,Montour,39.0,0.0,2020-04-13
47,Northampton,1130.0,23.0,2020-04-13
48,Northumberland,40.0,0.0,2020-04-13
49,Perry,17.0,1.0,2020-04-13
50,Philadelphia,6810.0,127.0,2020-04-13
51,Pike,221.0,6.0,2020-04-13
52,Potter,4.0,0.0,2020-04-13
53,Schuylkill,192.0,2.0,2020-04-13
54,Snyder,23.0,1.0,2020-04-13
55,Somerset,13.0,0.0,2020-04-13
56,Sullivan,1.0,0.0,2020-04-13
57,Susquehanna,31.0,1.0,2020-04-13
58,Tioga,14.0,1.0,2020-04-13
59,Union,21.0,0.0,2020-04-13
60,Venango,6.0,0.0,2020-04-13
61,Warren,1.0,0.0,2020-04-13
62,Washington,69.0,0.0,2020-04-13
63,Wayne,67.0,1.0,2020-04-13
64,Westmoreland,228.0,6.0,2020-04-13
65,Wyoming,12.0,0.0,2020-04-13
66,York,331.0,3.0,2020-04-13
