,County,Confirmed Cases,Confirmed Deaths,As of
0,Adams,1.0,0.0,2020-03-20
1,Allegheny,16.0,0.0,2020-03-20
2,Armstrong,0.0,0.0,2020-03-20
3,Beaver,2.0,0.0,2020-03-20
4,Bedford,0.0,0.0,2020-03-20
5,Berks,1.0,0.0,2020-03-20
6,Blair,0.0,0.0,2020-03-20
7,Bradford,0.0,0.0,2020-03-20
8,Bucks,12.0,0.0,2020-03-20
9,Butler,0.0,0.0,2020-03-20
10,Cambria,0.0,0.0,2020-03-20
11,Cameron,0.0,0.0,2020-03-20
12,Carbon,0.0,0.0,2020-03-20
13,Centre,0.0,0.0,2020-03-20
14,Chester,10.0,0.0,2020-03-20
15,Clarion,0.0,0.0,2020-03-20
16,Clearfield,0.0,0.0,2020-03-20
17,Clinton,0.0,0.0,2020-03-20
18,Columbia,0.0,0.0,2020-03-20
19,Crawford,0.0,0.0,2020-03-20
20,Cumberland,11.0,0.0,2020-03-20
21,Dauphin,0.0,0.0,2020-03-20
22,Delaware,14.0,0.0,2020-03-20
23,Elk,0.0,0.0,2020-03-20
24,Erie,0.0,0.0,2020-03-20
25,Fayette,0.0,0.0,2020-03-20
26,Forest,0.0,0.0,2020-03-20
27,Franklin,0.0,0.0,2020-03-20
28,Fulton,0.0,0.0,2020-03-20
29,Greene,0.0,0.0,2020-03-20
30,Huntingdon,0.0,0.0,2020-03-20
31,Indiana,0.0,0.0,2020-03-20
32,Jefferson,0.0,0.0,2020-03-20
33,Juniata,0.0,0.0,2020-03-20
34,Lackawanna,2.0,0.0,2020-03-20
35,Lancaster,2.0,0.0,2020-03-20
36,Lawrence,0.0,0.0,2020-03-20
37,Lebanon,1.0,0.0,2020-03-20
38,Lehigh,1.0,0.0,2020-03-20
39,Luzerne,1.0,0.0,2020-03-20
40,Lycoming,0.0,0.0,2020-03-20
41,McKean,0.0,0.0,2020-03-20
42,Mercer,0.0,0.0,2020-03-20
43,Mifflin,0.0,0.0,2020-03-20
44,Monroe,15.0,0.0,2020-03-20
45,Montgomery,47.0,0.0,2020-03-20
46,Montour,0.0,0.0,2020-03-20
47,Northampton,5.0,1.0,2020-03-20
48,Northumberland,0.0,0.0,2020-03-20
49,Perry,0.0,0.0,2020-03-20
50,Philadelphia,33.0,0.0,2020-03-20
51,Pike,3.0,0.0,2020-03-20
52,Potter,0.0,0.0,2020-03-20
53,Schuylkill,0.0,0.0,2020-03-20
54,Snyder,0.0,0.0,2020-03-20
55,Somerset,0.0,0.0,2020-03-20
56,Sullivan,0.0,0.0,2020-03-20
57,Susquehanna,0.0,0.0,2020-03-20
58,Tioga,0.0,0.0,2020-03-20
59,Union,0.0,0.0,2020-03-20
60,Venango,0.0,0.0,2020-03-20
61,Warren,0.0,0.0,2020-03-20
62,Washington,3.0,0.0,2020-03-20
63,Wayne,1.0,0.0,2020-03-20
64,Westmoreland,2.0,0.0,2020-03-20
65,Wyoming,0.0,0.0,2020-03-20
66,York,2.0,0.0,2020-03-20
