,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,28.0,0.0,2020-04-07
1,Allegheny,689.0,6.0,2020-04-07
2,Armstrong,18.0,0.0,2020-04-07
3,Beaver,116.0,9.0,2020-04-07
4,Bedford,4.0,0.0,2020-04-07
5,Berks,369.0,4.0,2020-04-07
6,Blair,6.0,0.0,2020-04-07
7,Bradford,14.0,0.0,2020-04-07
8,Bucks,690.0,21.0,2020-04-07
9,Butler,107.0,2.0,2020-04-07
10,Cambria,7.0,1.0,2020-04-07
11,Cameron,1.0,0.0,2020-04-07
12,Carbon,67.0,1.0,2020-04-07
13,Centre,55.0,0.0,2020-04-07
14,Chester,335.0,6.0,2020-04-07
15,Clarion,9.0,0.0,2020-04-07
16,Clearfield,7.0,0.0,2020-04-07
17,Clinton,3.0,0.0,2020-04-07
18,Columbia,42.0,1.0,2020-04-07
19,Crawford,8.0,0.0,2020-04-07
20,Cumberland,77.0,2.0,2020-04-07
21,Dauphin,155.0,1.0,2020-04-07
22,Delaware,898.0,20.0,2020-04-07
23,Elk,2.0,0.0,2020-04-07
24,Erie,28.0,0.0,2020-04-07
25,Fayette,32.0,1.0,2020-04-07
26,Forest,5.0,0.0,2020-04-07
27,Franklin,39.0,0.0,2020-04-07
28,Fulton,1.0,0.0,2020-04-07
29,Greene,15.0,0.0,2020-04-07
30,Huntingdon,5.0,0.0,2020-04-07
31,Indiana,21.0,0.0,2020-04-07
32,Jefferson,1.0,0.0,2020-04-07
33,Juniata,14.0,0.0,2020-04-07
34,Lackawanna,235.0,8.0,2020-04-07
35,Lancaster,490.0,14.0,2020-04-07
36,Lawrence,29.0,2.0,2020-04-07
37,Lebanon,145.0,0.0,2020-04-07
38,Lehigh,1146.0,10.0,2020-04-07
39,Luzerne,982.0,8.0,2020-04-07
40,Lycoming,12.0,0.0,2020-04-07
41,McKean,1.0,0.0,2020-04-07
42,Mercer,26.0,0.0,2020-04-07
43,Mifflin,6.0,0.0,2020-04-07
44,Monroe,610.0,12.0,2020-04-07
45,Montgomery,1359.0,30.0,2020-04-07
46,Montour,27.0,0.0,2020-04-07
47,Northampton,774.0,14.0,2020-04-07
48,Northumberland,22.0,0.0,2020-04-07
49,Perry,9.0,1.0,2020-04-07
50,Philadelphia,4012.0,58.0,2020-04-07
51,Pike,136.0,5.0,2020-04-07
52,Potter,3.0,0.0,2020-04-07
53,Schuylkill,119.0,0.0,2020-04-07
54,Snyder,9.0,1.0,2020-04-07
55,Somerset,7.0,0.0,2020-04-07
56,Sullivan,1.0,0.0,2020-04-07
57,Susquehanna,11.0,0.0,2020-04-07
58,Tioga,10.0,0.0,2020-04-07
59,Union,7.0,0.0,2020-04-07
60,Venango,5.0,0.0,2020-04-07
61,Warren,1.0,0.0,2020-04-07
62,Washington,57.0,0.0,2020-04-07
63,Wayne,40.0,0.0,2020-04-07
64,Westmoreland,177.0,0.0,2020-04-07
65,Wyoming,5.0,0.0,2020-04-07
66,York,218.0,2.0,2020-04-07
