,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,4.0,0.0,2020-03-21
1,Allegheny,28.0,0.0,2020-03-21
2,Armstrong,0.0,0.0,2020-03-21
3,Beaver,3.0,0.0,2020-03-21
4,Bedford,0.0,0.0,2020-03-21
5,Berks,5.0,0.0,2020-03-21
6,Blair,0.0,0.0,2020-03-21
7,Bradford,0.0,0.0,2020-03-21
8,Bucks,16.0,0.0,2020-03-21
9,Butler,0.0,0.0,2020-03-21
10,Cambria,0.0,0.0,2020-03-21
11,Cameron,0.0,0.0,2020-03-21
12,Carbon,0.0,0.0,2020-03-21
13,Centre,1.0,0.0,2020-03-21
14,Chester,17.0,0.0,2020-03-21
15,Clarion,0.0,0.0,2020-03-21
16,Clearfield,0.0,0.0,2020-03-21
17,Clinton,0.0,0.0,2020-03-21
18,Columbia,0.0,0.0,2020-03-21
19,Crawford,0.0,0.0,2020-03-21
20,Cumberland,11.0,0.0,2020-03-21
21,Dauphin,0.0,0.0,2020-03-21
22,Delaware,23.0,0.0,2020-03-21
23,Elk,0.0,0.0,2020-03-21
24,Erie,1.0,0.0,2020-03-21
25,Fayette,0.0,0.0,2020-03-21
26,Forest,0.0,0.0,2020-03-21
27,Franklin,1.0,0.0,2020-03-21
28,Fulton,0.0,0.0,2020-03-21
29,Greene,0.0,0.0,2020-03-21
30,Huntingdon,0.0,0.0,2020-03-21
31,Indiana,0.0,0.0,2020-03-21
32,Jefferson,0.0,0.0,2020-03-21
33,Juniata,0.0,0.0,2020-03-21
34,Lackawanna,4.0,0.0,2020-03-21
35,Lancaster,2.0,0.0,2020-03-21
36,Lawrence,0.0,0.0,2020-03-21
37,Lebanon,1.0,0.0,2020-03-21
38,Lehigh,2.0,0.0,2020-03-21
39,Luzerne,2.0,0.0,2020-03-21
40,Lycoming,0.0,0.0,2020-03-21
41,McKean,0.0,0.0,2020-03-21
42,Mercer,0.0,0.0,2020-03-21
43,Mifflin,0.0,0.0,2020-03-21
44,Monroe,19.0,0.0,2020-03-21
45,Montgomery,59.0,0.0,2020-03-21
46,Montour,0.0,0.0,2020-03-21
47,Northampton,10.0,1.0,2020-03-21
48,Northumberland,0.0,0.0,2020-03-21
49,Perry,0.0,0.0,2020-03-21
50,Philadelphia,42.0,0.0,2020-03-21
51,Pike,2.0,0.0,2020-03-21
52,Potter,1.0,0.0,2020-03-21
53,Schuylkill,0.0,0.0,2020-03-21
54,Snyder,0.0,0.0,2020-03-21
55,Somerset,0.0,0.0,2020-03-21
56,Sullivan,0.0,0.0,2020-03-21
57,Susquehanna,0.0,0.0,2020-03-21
58,Tioga,0.0,0.0,2020-03-21
59,Union,0.0,0.0,2020-03-21
60,Venango,0.0,0.0,2020-03-21
61,Warren,0.0,0.0,2020-03-21
62,Washington,3.0,0.0,2020-03-21
63,Wayne,1.0,0.0,2020-03-21
64,Westmoreland,4.0,0.0,2020-03-21
65,Wyoming,0.0,0.0,2020-03-21
66,York,6.0,0.0,2020-03-21
