,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,12.0,0.0,2020-04-01
1,Allegheny,356.0,2.0,2020-04-01
2,Armstrong,5.0,0.0,2020-04-01
3,Beaver,54.0,2.0,2020-04-01
4,Bedford,3.0,0.0,2020-04-01
5,Berks,151.0,0.0,2020-04-01
6,Blair,4.0,0.0,2020-04-01
7,Bradford,8.0,0.0,2020-04-01
8,Bucks,312.0,6.0,2020-04-01
9,Butler,64.0,2.0,2020-04-01
10,Cambria,3.0,0.0,2020-04-01
11,Cameron,1.0,0.0,2020-04-01
12,Carbon,23.0,1.0,2020-04-01
13,Centre,27.0,0.0,2020-04-01
14,Chester,183.0,1.0,2020-04-01
15,Clarion,4.0,0.0,2020-04-01
16,Clearfield,4.0,0.0,2020-04-01
17,Clinton,0.0,0.0,2020-04-01
18,Columbia,8.0,0.0,2020-04-01
19,Crawford,5.0,0.0,2020-04-01
20,Cumberland,38.0,1.0,2020-04-01
21,Dauphin,59.0,1.0,2020-04-01
22,Delaware,390.0,7.0,2020-04-01
23,Elk,0.0,0.0,2020-04-01
24,Erie,15.0,0.0,2020-04-01
25,Fayette,14.0,1.0,2020-04-01
26,Forest,0.0,0.0,2020-04-01
27,Franklin,21.0,0.0,2020-04-01
28,Fulton,0.0,0.0,2020-04-01
29,Greene,9.0,0.0,2020-04-01
30,Huntingdon,1.0,0.0,2020-04-01
31,Indiana,6.0,0.0,2020-04-01
32,Jefferson,0.0,0.0,2020-04-01
33,Juniata,2.0,0.0,2020-04-01
34,Lackawanna,85.0,3.0,2020-04-01
35,Lancaster,157.0,3.0,2020-04-01
36,Lawrence,13.0,2.0,2020-04-01
37,Lebanon,36.0,0.0,2020-04-01
38,Lehigh,374.0,5.0,2020-04-01
39,Luzerne,282.0,4.0,2020-04-01
40,Lycoming,7.0,0.0,2020-04-01
41,McKean,0.0,0.0,2020-04-01
42,Mercer,8.0,0.0,2020-04-01
43,Mifflin,1.0,0.0,2020-04-01
44,Monroe,278.0,8.0,2020-04-01
45,Montgomery,649.0,8.0,2020-04-01
46,Montour,13.0,0.0,2020-04-01
47,Northampton,312.0,5.0,2020-04-01
48,Northumberland,6.0,0.0,2020-04-01
49,Perry,1.0,0.0,2020-04-01
50,Philadelphia,1478.0,10.0,2020-04-01
51,Pike,57.0,1.0,2020-04-01
52,Potter,2.0,0.0,2020-04-01
53,Schuylkill,47.0,0.0,2020-04-01
54,Snyder,3.0,1.0,2020-04-01
55,Somerset,3.0,0.0,2020-04-01
56,Sullivan,0.0,0.0,2020-04-01
57,Susquehanna,2.0,0.0,2020-04-01
58,Tioga,2.0,0.0,2020-04-01
59,Union,2.0,0.0,2020-04-01
60,Venango,3.0,0.0,2020-04-01
61,Warren,1.0,0.0,2020-04-01
62,Washington,35.0,0.0,2020-04-01
63,Wayne,14.0,0.0,2020-04-01
64,Westmoreland,72.0,0.0,2020-04-01
65,Wyoming,0.0,0.0,2020-04-01
66,York,79.0,0.0,2020-04-01
