,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,67.0,1.0,2020-04-16
1,Allegheny,925.0,38.0,2020-04-16
2,Armstrong,32.0,1.0,2020-04-16
3,Beaver,168.0,14.0,2020-04-16
4,Bedford,11.0,1.0,2020-04-16
5,Berks,1419.0,31.0,2020-04-16
6,Blair,13.0,0.0,2020-04-16
7,Bradford,19.0,0.0,2020-04-16
8,Bucks,1407.0,56.0,2020-04-16
9,Butler,154.0,5.0,2020-04-16
10,Cambria,14.0,1.0,2020-04-16
11,Cameron,1.0,0.0,2020-04-16
12,Carbon,113.0,6.0,2020-04-16
13,Centre,73.0,0.0,2020-04-16
14,Chester,699.0,28.0,2020-04-16
15,Clarion,17.0,0.0,2020-04-16
16,Clearfield,9.0,0.0,2020-04-16
17,Clinton,8.0,0.0,2020-04-16
18,Columbia,146.0,3.0,2020-04-16
19,Crawford,16.0,0.0,2020-04-16
20,Cumberland,137.0,4.0,2020-04-16
21,Dauphin,287.0,7.0,2020-04-16
22,Delaware,1999.0,69.0,2020-04-16
23,Elk,2.0,0.0,2020-04-16
24,Erie,46.0,0.0,2020-04-16
25,Fayette,60.0,3.0,2020-04-16
26,Forest,7.0,0.0,2020-04-16
27,Franklin,80.0,0.0,2020-04-16
28,Fulton,2.0,0.0,2020-04-16
29,Greene,24.0,0.0,2020-04-16
30,Huntingdon,12.0,0.0,2020-04-16
31,Indiana,44.0,2.0,2020-04-16
32,Jefferson,2.0,0.0,2020-04-16
33,Juniata,56.0,0.0,2020-04-16
34,Lackawanna,559.0,28.0,2020-04-16
35,Lancaster,970.0,33.0,2020-04-16
36,Lawrence,55.0,5.0,2020-04-16
37,Lebanon,380.0,2.0,2020-04-16
38,Lehigh,1999.0,28.0,2020-04-16
39,Luzerne,1611.0,28.0,2020-04-16
40,Lycoming,30.0,0.0,2020-04-16
41,McKean,4.0,0.0,2020-04-16
42,Mercer,50.0,0.0,2020-04-16
43,Mifflin,15.0,0.0,2020-04-16
44,Monroe,898.0,29.0,2020-04-16
45,Montgomery,2544.0,89.0,2020-04-16
46,Montour,48.0,0.0,2020-04-16
47,Northampton,1296.0,25.0,2020-04-16
48,Northumberland,60.0,0.0,2020-04-16
49,Perry,17.0,1.0,2020-04-16
50,Philadelphia,7684.0,134.0,2020-04-16
51,Pike,276.0,7.0,2020-04-16
52,Potter,4.0,0.0,2020-04-16
53,Schuylkill,236.0,4.0,2020-04-16
54,Snyder,24.0,1.0,2020-04-16
55,Somerset,14.0,0.0,2020-04-16
56,Sullivan,1.0,0.0,2020-04-16
57,Susquehanna,49.0,1.0,2020-04-16
58,Tioga,13.0,1.0,2020-04-16
59,Union,25.0,0.0,2020-04-16
60,Venango,6.0,0.0,2020-04-16
61,Warren,1.0,0.0,2020-04-16
62,Washington,73.0,1.0,2020-04-16
63,Wayne,77.0,2.0,2020-04-16
64,Westmoreland,240.0,13.0,2020-04-16
65,Wyoming,14.0,1.0,2020-04-16
66,York,393.0,4.0,2020-04-16
