,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,1118.0,70.0,2020-04-17
1,Allegheny,0.0,0.0,2020-04-17
2,Armstrong,1.0,0.0,2020-04-17
3,Beaver,947.0,43.0,2020-04-17
4,Bedford,0.0,0.0,2020-04-17
5,Berks,10199.0,424.0,2020-04-17
6,Blair,32.0,178.0,2020-04-17
7,Bradford,0.0,0.0,2020-04-17
8,Bucks,2.0,0.0,2020-04-17
9,Butler,1478.0,1.0,2020-04-17
10,Cambria,0.0,0.0,2020-04-17
11,Cameron,15.0,3432.0,2020-04-17
12,Carbon,13.0,14.0,2020-04-17
13,Centre,0.0,0.0,2020-04-17
14,Chester,83.0,0.0,2020-04-17
15,Clarion,1537.0,0.0,2020-04-17
16,Clearfield,0.0,0.0,2020-04-17
17,Clinton,34.0,5139.0,2020-04-17
18,Columbia,589.0,157.0,2020-04-17
19,Crawford,0.0,0.0,2020-04-17
20,Cumberland,20.0,0.0,2020-04-17
21,Dauphin,334.0,1.0,2020-04-17
22,Delaware,0.0,0.0,2020-04-17
23,Elk,64.0,118.0,2020-04-17
24,Erie,1682.0,0.0,2020-04-17
25,Fayette,0.0,0.0,2020-04-17
26,Forest,5.0,1.0,2020-04-17
27,Franklin,14.0,3606.0,2020-04-17
28,Fulton,0.0,0.0,2020-04-17
29,Greene,432.0,18.0,2020-04-17
30,Huntingdon,1.0,0.0,2020-04-17
31,Indiana,0.0,0.0,2020-04-17
32,Jefferson,722.0,0.0,2020-04-17
33,Juniata,7.0,87.0,2020-04-17
34,Lackawanna,0.0,0.0,2020-04-17
35,Lancaster,73.0,166.0,2020-04-17
36,Lawrence,570.0,0.0,2020-04-17
37,Lebanon,0.0,0.0,2020-04-17
38,Lehigh,739.0,0.0,2020-04-17
39,Luzerne,30.0,761.0,2020-04-17
40,Lycoming,0.0,0.0,2020-04-17
41,McKean,362.0,311.0,2020-04-17
42,Mercer,9.0,0.0,2020-04-17
43,Mifflin,0.0,0.0,2020-04-17
44,Monroe,303.0,73.0,2020-04-17
45,Montgomery,10.0,107.0,2020-04-17
46,Montour,0.0,0.0,2020-04-17
47,Northampton,117.0,48.0,2020-04-17
48,Northumberland,3.0,0.0,2020-04-17
49,Perry,0.0,0.0,2020-04-17
50,Philadelphia,16.0,3.0,2020-04-17
51,Pike,531.0,21.0,2020-04-17
52,Potter,0.0,0.0,2020-04-17
53,Schuylkill,154.0,89.0,2020-04-17
54,Snyder,4.0,0.0,2020-04-17
55,Somerset,0.0,0.0,2020-04-17
56,Sullivan,2178.0,0.0,2020-04-17
57,Susquehanna,7.0,299.0,2020-04-17
58,Tioga,0.0,0.0,2020-04-17
59,Union,2226.0,12.0,2020-04-17
60,Venango,5825.0,0.0,2020-04-17
61,Warren,0.0,0.0,2020-04-17
62,Washington,2.0,3.0,2020-04-17
63,Wayne,1213.0,231.0,2020-04-17
64,Westmoreland,0.0,0.0,2020-04-17
65,Wyoming,66.0,63.0,2020-04-17
66,York,1263.0,0.0,2020-04-17
