,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,63.0,1.0,2020-04-14
1,Allegheny,893.0,24.0,2020-04-14
2,Armstrong,28.0,1.0,2020-04-14
3,Beaver,156.0,14.0,2020-04-14
4,Bedford,5.0,1.0,2020-04-14
5,Berks,1247.0,27.0,2020-04-14
6,Blair,11.0,0.0,2020-04-14
7,Bradford,19.0,0.0,2020-04-14
8,Bucks,1222.0,40.0,2020-04-14
9,Butler,143.0,5.0,2020-04-14
10,Cambria,14.0,1.0,2020-04-14
11,Cameron,1.0,0.0,2020-04-14
12,Carbon,103.0,3.0,2020-04-14
13,Centre,70.0,0.0,2020-04-14
14,Chester,621.0,20.0,2020-04-14
15,Clarion,16.0,0.0,2020-04-14
16,Clearfield,9.0,0.0,2020-04-14
17,Clinton,8.0,0.0,2020-04-14
18,Columbia,125.0,3.0,2020-04-14
19,Crawford,16.0,0.0,2020-04-14
20,Cumberland,124.0,4.0,2020-04-14
21,Dauphin,249.0,5.0,2020-04-14
22,Delaware,1806.0,45.0,2020-04-14
23,Elk,2.0,0.0,2020-04-14
24,Erie,41.0,0.0,2020-04-14
25,Fayette,58.0,3.0,2020-04-14
26,Forest,5.0,0.0,2020-04-14
27,Franklin,69.0,0.0,2020-04-14
28,Fulton,2.0,0.0,2020-04-14
29,Greene,23.0,0.0,2020-04-14
30,Huntingdon,11.0,0.0,2020-04-14
31,Indiana,43.0,0.0,2020-04-14
32,Jefferson,2.0,0.0,2020-04-14
33,Juniata,43.0,0.0,2020-04-14
34,Lackawanna,501.0,24.0,2020-04-14
35,Lancaster,865.0,26.0,2020-04-14
36,Lawrence,51.0,4.0,2020-04-14
37,Lebanon,328.0,2.0,2020-04-14
38,Lehigh,1803.0,23.0,2020-04-14
39,Luzerne,1523.0,26.0,2020-04-14
40,Lycoming,29.0,0.0,2020-04-14
41,McKean,4.0,0.0,2020-04-14
42,Mercer,44.0,0.0,2020-04-14
43,Mifflin,16.0,0.0,2020-04-14
44,Monroe,847.0,27.0,2020-04-14
45,Montgomery,2354.0,76.0,2020-04-14
46,Montour,44.0,0.0,2020-04-14
47,Northampton,1176.0,25.0,2020-04-14
48,Northumberland,48.0,0.0,2020-04-14
49,Perry,17.0,1.0,2020-04-14
50,Philadelphia,7121.0,131.0,2020-04-14
51,Pike,256.0,6.0,2020-04-14
52,Potter,4.0,0.0,2020-04-14
53,Schuylkill,200.0,2.0,2020-04-14
54,Snyder,24.0,1.0,2020-04-14
55,Somerset,13.0,0.0,2020-04-14
56,Sullivan,1.0,0.0,2020-04-14
57,Susquehanna,32.0,1.0,2020-04-14
58,Tioga,13.0,1.0,2020-04-14
59,Union,23.0,0.0,2020-04-14
60,Venango,6.0,0.0,2020-04-14
61,Warren,1.0,0.0,2020-04-14
62,Washington,70.0,1.0,2020-04-14
63,Wayne,70.0,1.0,2020-04-14
64,Westmoreland,231.0,6.0,2020-04-14
65,Wyoming,11.0,0.0,2020-04-14
66,York,371.0,3.0,2020-04-14
