,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,8.0,0.0,2020-03-30
1,Allegheny,290.0,2.0,2020-03-30
2,Armstrong,3.0,0.0,2020-03-30
3,Beaver,44.0,0.0,2020-03-30
4,Bedford,0.0,0.0,2020-03-30
5,Berks,82.0,0.0,2020-03-30
6,Blair,6.0,0.0,2020-03-30
7,Bradford,3.0,0.0,2020-03-30
8,Bucks,246.0,3.0,2020-03-30
9,Butler,49.0,2.0,2020-03-30
10,Cambria,2.0,0.0,2020-03-30
11,Cameron,1.0,0.0,2020-03-30
12,Carbon,13.0,0.0,2020-03-30
13,Centre,24.0,0.0,2020-03-30
14,Chester,146.0,0.0,2020-03-30
15,Clarion,1.0,0.0,2020-03-30
16,Clearfield,4.0,0.0,2020-03-30
17,Clinton,0.0,0.0,2020-03-30
18,Columbia,6.0,0.0,2020-03-30
19,Crawford,4.0,0.0,2020-03-30
20,Cumberland,24.0,1.0,2020-03-30
21,Dauphin,36.0,0.0,2020-03-30
22,Delaware,303.0,4.0,2020-03-30
23,Elk,0.0,0.0,2020-03-30
24,Erie,13.0,0.0,2020-03-30
25,Fayette,11.0,0.0,2020-03-30
26,Forest,0.0,0.0,2020-03-30
27,Franklin,12.0,0.0,2020-03-30
28,Fulton,0.0,0.0,2020-03-30
29,Greene,7.0,0.0,2020-03-30
30,Huntingdon,1.0,0.0,2020-03-30
31,Indiana,2.0,0.0,2020-03-30
32,Jefferson,0.0,0.0,2020-03-30
33,Juniata,3.0,0.0,2020-03-30
34,Lackawanna,62.0,2.0,2020-03-30
35,Lancaster,97.0,2.0,2020-03-30
36,Lawrence,10.0,1.0,2020-03-30
37,Lebanon,27.0,0.0,2020-03-30
38,Lehigh,231.0,3.0,2020-03-30
39,Luzerne,150.0,3.0,2020-03-30
40,Lycoming,4.0,0.0,2020-03-30
41,McKean,0.0,0.0,2020-03-30
42,Mercer,7.0,0.0,2020-03-30
43,Mifflin,1.0,0.0,2020-03-30
44,Monroe,182.0,7.0,2020-03-30
45,Montgomery,540.0,5.0,2020-03-30
46,Montour,10.0,0.0,2020-03-30
47,Northampton,184.0,5.0,2020-03-30
48,Northumberland,1.0,0.0,2020-03-30
49,Perry,1.0,0.0,2020-03-30
50,Philadelphia,1007.0,7.0,2020-03-30
51,Pike,39.0,1.0,2020-03-30
52,Potter,2.0,0.0,2020-03-30
53,Schuylkill,30.0,0.0,2020-03-30
54,Snyder,2.0,0.0,2020-03-30
55,Somerset,2.0,0.0,2020-03-30
56,Sullivan,0.0,0.0,2020-03-30
57,Susquehanna,1.0,0.0,2020-03-30
58,Tioga,1.0,0.0,2020-03-30
59,Union,4.0,0.0,2020-03-30
60,Venango,1.0,0.0,2020-03-30
61,Warren,1.0,0.0,2020-03-30
62,Washington,26.0,0.0,2020-03-30
63,Wayne,10.0,0.0,2020-03-30
64,Westmoreland,55.0,0.0,2020-03-30
65,Wyoming,0.0,0.0,2020-03-30
66,York,54.0,0.0,2020-03-30
