,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,43.0,1.0,2020-04-10
1,Allegheny,788.0,18.0,2020-04-10
2,Armstrong,22.0,0.0,2020-04-10
3,Beaver,139.0,13.0,2020-04-10
4,Bedford,3.0,0.0,2020-04-10
5,Berks,720.0,12.0,2020-04-10
6,Blair,9.0,0.0,2020-04-10
7,Bradford,16.0,0.0,2020-04-10
8,Bucks,958.0,26.0,2020-04-10
9,Butler,123.0,3.0,2020-04-10
10,Cambria,11.0,1.0,2020-04-10
11,Cameron,1.0,0.0,2020-04-10
12,Carbon,93.0,3.0,2020-04-10
13,Centre,61.0,0.0,2020-04-10
14,Chester,485.0,9.0,2020-04-10
15,Clarion,10.0,0.0,2020-04-10
16,Clearfield,8.0,0.0,2020-04-10
17,Clinton,6.0,0.0,2020-04-10
18,Columbia,81.0,2.0,2020-04-10
19,Crawford,13.0,0.0,2020-04-10
20,Cumberland,96.0,2.0,2020-04-10
21,Dauphin,199.0,2.0,2020-04-10
22,Delaware,1377.0,30.0,2020-04-10
23,Elk,2.0,0.0,2020-04-10
24,Erie,36.0,0.0,2020-04-10
25,Fayette,49.0,1.0,2020-04-10
26,Forest,5.0,0.0,2020-04-10
27,Franklin,57.0,0.0,2020-04-10
28,Fulton,1.0,0.0,2020-04-10
29,Greene,21.0,0.0,2020-04-10
30,Huntingdon,8.0,0.0,2020-04-10
31,Indiana,26.0,0.0,2020-04-10
32,Jefferson,1.0,0.0,2020-04-10
33,Juniata,30.0,0.0,2020-04-10
34,Lackawanna,346.0,18.0,2020-04-10
35,Lancaster,648.0,21.0,2020-04-10
36,Lawrence,45.0,3.0,2020-04-10
37,Lebanon,218.0,1.0,2020-04-10
38,Lehigh,1562.0,16.0,2020-04-10
39,Luzerne,1325.0,15.0,2020-04-10
40,Lycoming,18.0,0.0,2020-04-10
41,McKean,1.0,0.0,2020-04-10
42,Mercer,36.0,0.0,2020-04-10
43,Mifflin,11.0,0.0,2020-04-10
44,Monroe,752.0,19.0,2020-04-10
45,Montgomery,1889.0,50.0,2020-04-10
46,Montour,29.0,0.0,2020-04-10
47,Northampton,994.0,21.0,2020-04-10
48,Northumberland,29.0,0.0,2020-04-10
49,Perry,16.0,1.0,2020-04-10
50,Philadelphia,5521.0,110.0,2020-04-10
51,Pike,190.0,6.0,2020-04-10
52,Potter,3.0,0.0,2020-04-10
53,Schuylkill,164.0,1.0,2020-04-10
54,Snyder,12.0,1.0,2020-04-10
55,Somerset,10.0,0.0,2020-04-10
56,Sullivan,1.0,0.0,2020-04-10
57,Susquehanna,22.0,2.0,2020-04-10
58,Tioga,11.0,0.0,2020-04-10
59,Union,12.0,0.0,2020-04-10
60,Venango,5.0,0.0,2020-04-10
61,Warren,1.0,0.0,2020-04-10
62,Washington,66.0,0.0,2020-04-10
63,Wayne,53.0,0.0,2020-04-10
64,Westmoreland,202.0,5.0,2020-04-10
65,Wyoming,6.0,0.0,2020-04-10
66,York,283.0,3.0,2020-04-10
