,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,25.0,0.0,2020-04-06
1,Allegheny,642.0,4.0,2020-04-06
2,Armstrong,13.0,0.0,2020-04-06
3,Beaver,96.0,6.0,2020-04-06
4,Bedford,4.0,0.0,2020-04-06
5,Berks,326.0,3.0,2020-04-06
6,Blair,5.0,0.0,2020-04-06
7,Bradford,10.0,0.0,2020-04-06
8,Bucks,619.0,17.0,2020-04-06
9,Butler,91.0,2.0,2020-04-06
10,Cambria,7.0,0.0,2020-04-06
11,Cameron,1.0,0.0,2020-04-06
12,Carbon,59.0,1.0,2020-04-06
13,Centre,44.0,0.0,2020-04-06
14,Chester,307.0,3.0,2020-04-06
15,Clarion,6.0,0.0,2020-04-06
16,Clearfield,7.0,0.0,2020-04-06
17,Clinton,3.0,0.0,2020-04-06
18,Columbia,26.0,0.0,2020-04-06
19,Crawford,9.0,0.0,2020-04-06
20,Cumberland,68.0,2.0,2020-04-06
21,Dauphin,132.0,1.0,2020-04-06
22,Delaware,822.0,15.0,2020-04-06
23,Elk,0.0,0.0,2020-04-06
24,Erie,20.0,0.0,2020-04-06
25,Fayette,29.0,1.0,2020-04-06
26,Forest,4.0,0.0,2020-04-06
27,Franklin,32.0,0.0,2020-04-06
28,Fulton,1.0,0.0,2020-04-06
29,Greene,12.0,0.0,2020-04-06
30,Huntingdon,4.0,0.0,2020-04-06
31,Indiana,17.0,0.0,2020-04-06
32,Jefferson,0.0,0.0,2020-04-06
33,Juniata,11.0,0.0,2020-04-06
34,Lackawanna,190.0,7.0,2020-04-06
35,Lancaster,408.0,11.0,2020-04-06
36,Lawrence,24.0,2.0,2020-04-06
37,Lebanon,124.0,0.0,2020-04-06
38,Lehigh,1006.0,8.0,2020-04-06
39,Luzerne,849.0,5.0,2020-04-06
40,Lycoming,10.0,0.0,2020-04-06
41,McKean,1.0,0.0,2020-04-06
42,Mercer,18.0,0.0,2020-04-06
43,Mifflin,5.0,0.0,2020-04-06
44,Monroe,572.0,11.0,2020-04-06
45,Montgomery,1230.0,18.0,2020-04-06
46,Montour,33.0,0.0,2020-04-06
47,Northampton,716.0,12.0,2020-04-06
48,Northumberland,15.0,0.0,2020-04-06
49,Perry,5.0,1.0,2020-04-06
50,Philadelphia,3611.0,28.0,2020-04-06
51,Pike,125.0,2.0,2020-04-06
52,Potter,3.0,0.0,2020-04-06
53,Schuylkill,103.0,0.0,2020-04-06
54,Snyder,8.0,1.0,2020-04-06
55,Somerset,6.0,0.0,2020-04-06
56,Sullivan,1.0,0.0,2020-04-06
57,Susquehanna,6.0,0.0,2020-04-06
58,Tioga,8.0,0.0,2020-04-06
59,Union,6.0,0.0,2020-04-06
60,Venango,5.0,0.0,2020-04-06
61,Warren,1.0,0.0,2020-04-06
62,Washington,53.0,0.0,2020-04-06
63,Wayne,35.0,0.0,2020-04-06
64,Westmoreland,157.0,0.0,2020-04-06
65,Wyoming,5.0,0.0,2020-04-06
66,York,189.0,1.0,2020-04-06
