,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,48.0,1.0,2020-04-12
1,Allegheny,857.0,19.0,2020-04-12
2,Armstrong,27.0,1.0,2020-04-12
3,Beaver,145.0,13.0,2020-04-12
4,Bedford,5.0,1.0,2020-04-12
5,Berks,1035.0,20.0,2020-04-12
6,Blair,10.0,0.0,2020-04-12
7,Bradford,18.0,0.0,2020-04-12
8,Bucks,1107.0,32.0,2020-04-12
9,Butler,133.0,4.0,2020-04-12
10,Cambria,13.0,1.0,2020-04-12
11,Cameron,1.0,0.0,2020-04-12
12,Carbon,102.0,3.0,2020-04-12
13,Centre,70.0,0.0,2020-04-12
14,Chester,562.0,17.0,2020-04-12
15,Clarion,15.0,0.0,2020-04-12
16,Clearfield,9.0,0.0,2020-04-12
17,Clinton,8.0,0.0,2020-04-12
18,Columbia,106.0,3.0,2020-04-12
19,Crawford,15.0,0.0,2020-04-12
20,Cumberland,110.0,3.0,2020-04-12
21,Dauphin,229.0,4.0,2020-04-12
22,Delaware,1594.0,39.0,2020-04-12
23,Elk,2.0,0.0,2020-04-12
24,Erie,39.0,0.0,2020-04-12
25,Fayette,54.0,3.0,2020-04-12
26,Forest,5.0,0.0,2020-04-12
27,Franklin,64.0,0.0,2020-04-12
28,Fulton,1.0,0.0,2020-04-12
29,Greene,23.0,0.0,2020-04-12
30,Huntingdon,10.0,0.0,2020-04-12
31,Indiana,40.0,0.0,2020-04-12
32,Jefferson,2.0,0.0,2020-04-12
33,Juniata,38.0,0.0,2020-04-12
34,Lackawanna,427.0,20.0,2020-04-12
35,Lancaster,772.0,24.0,2020-04-12
36,Lawrence,49.0,4.0,2020-04-12
37,Lebanon,270.0,1.0,2020-04-12
38,Lehigh,1684.0,18.0,2020-04-12
39,Luzerne,1411.0,17.0,2020-04-12
40,Lycoming,23.0,0.0,2020-04-12
41,McKean,2.0,0.0,2020-04-12
42,Mercer,40.0,0.0,2020-04-12
43,Mifflin,12.0,0.0,2020-04-12
44,Monroe,795.0,23.0,2020-04-12
45,Montgomery,2164.0,63.0,2020-04-12
46,Montour,29.0,0.0,2020-04-12
47,Northampton,1082.0,23.0,2020-04-12
48,Northumberland,37.0,0.0,2020-04-12
49,Perry,16.0,1.0,2020-04-12
50,Philadelphia,6352.0,128.0,2020-04-12
51,Pike,212.0,6.0,2020-04-12
52,Potter,4.0,0.0,2020-04-12
53,Schuylkill,188.0,2.0,2020-04-12
54,Snyder,20.0,1.0,2020-04-12
55,Somerset,12.0,0.0,2020-04-12
56,Sullivan,1.0,0.0,2020-04-12
57,Susquehanna,25.0,1.0,2020-04-12
58,Tioga,13.0,1.0,2020-04-12
59,Union,19.0,0.0,2020-04-12
60,Venango,6.0,0.0,2020-04-12
61,Warren,1.0,0.0,2020-04-12
62,Washington,68.0,0.0,2020-04-12
63,Wayne,63.0,1.0,2020-04-12
64,Westmoreland,223.0,6.0,2020-04-12
65,Wyoming,9.0,0.0,2020-04-12
66,York,307.0,3.0,2020-04-12
