,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,33.0,0.0,2020-04-08
1,Allegheny,720.0,10.0,2020-04-08
2,Armstrong,19.0,0.0,2020-04-08
3,Beaver,128.0,13.0,2020-04-08
4,Bedford,4.0,0.0,2020-04-08
5,Berks,416.0,7.0,2020-04-08
6,Blair,6.0,0.0,2020-04-08
7,Bradford,15.0,0.0,2020-04-08
8,Bucks,756.0,22.0,2020-04-08
9,Butler,113.0,2.0,2020-04-08
10,Cambria,9.0,1.0,2020-04-08
11,Cameron,1.0,0.0,2020-04-08
12,Carbon,76.0,1.0,2020-04-08
13,Centre,57.0,0.0,2020-04-08
14,Chester,373.0,6.0,2020-04-08
15,Clarion,8.0,0.0,2020-04-08
16,Clearfield,7.0,0.0,2020-04-08
17,Clinton,3.0,0.0,2020-04-08
18,Columbia,54.0,1.0,2020-04-08
19,Crawford,8.0,0.0,2020-04-08
20,Cumberland,84.0,2.0,2020-04-08
21,Dauphin,168.0,2.0,2020-04-08
22,Delaware,1034.0,23.0,2020-04-08
23,Elk,2.0,0.0,2020-04-08
24,Erie,29.0,0.0,2020-04-08
25,Fayette,35.0,1.0,2020-04-08
26,Forest,5.0,0.0,2020-04-08
27,Franklin,43.0,0.0,2020-04-08
28,Fulton,1.0,0.0,2020-04-08
29,Greene,17.0,0.0,2020-04-08
30,Huntingdon,6.0,0.0,2020-04-08
31,Indiana,21.0,0.0,2020-04-08
32,Jefferson,1.0,0.0,2020-04-08
33,Juniata,18.0,0.0,2020-04-08
34,Lackawanna,266.0,10.0,2020-04-08
35,Lancaster,561.0,16.0,2020-04-08
36,Lawrence,32.0,2.0,2020-04-08
37,Lebanon,169.0,0.0,2020-04-08
38,Lehigh,1319.0,11.0,2020-04-08
39,Luzerne,1134.0,11.0,2020-04-08
40,Lycoming,15.0,0.0,2020-04-08
41,McKean,1.0,0.0,2020-04-08
42,Mercer,27.0,0.0,2020-04-08
43,Mifflin,10.0,0.0,2020-04-08
44,Monroe,671.0,17.0,2020-04-08
45,Montgomery,1521.0,37.0,2020-04-08
46,Montour,26.0,0.0,2020-04-08
47,Northampton,857.0,17.0,2020-04-08
48,Northumberland,22.0,0.0,2020-04-08
49,Perry,13.0,1.0,2020-04-08
50,Philadelphia,4456.0,87.0,2020-04-08
51,Pike,148.0,6.0,2020-04-08
52,Potter,3.0,0.0,2020-04-08
53,Schuylkill,136.0,0.0,2020-04-08
54,Snyder,9.0,1.0,2020-04-08
55,Somerset,7.0,0.0,2020-04-08
56,Sullivan,1.0,0.0,2020-04-08
57,Susquehanna,14.0,0.0,2020-04-08
58,Tioga,10.0,0.0,2020-04-08
59,Union,8.0,0.0,2020-04-08
60,Venango,5.0,0.0,2020-04-08
61,Warren,1.0,0.0,2020-04-08
62,Washington,59.0,0.0,2020-04-08
63,Wayne,47.0,0.0,2020-04-08
64,Westmoreland,183.0,1.0,2020-04-08
65,Wyoming,5.0,0.0,2020-04-08
66,York,233.0,2.0,2020-04-08
