,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,18.0,0.0,2020-04-03
1,Allegheny,419.0,2.0,2020-04-03
2,Armstrong,7.0,0.0,2020-04-03
3,Beaver,55.0,2.0,2020-04-03
4,Bedford,3.0,0.0,2020-04-03
5,Berks,168.0,1.0,2020-04-03
6,Blair,4.0,0.0,2020-04-03
7,Bradford,8.0,0.0,2020-04-03
8,Bucks,370.0,6.0,2020-04-03
9,Butler,69.0,2.0,2020-04-03
10,Cambria,4.0,0.0,2020-04-03
11,Cameron,1.0,0.0,2020-04-03
12,Carbon,26.0,1.0,2020-04-03
13,Centre,28.0,0.0,2020-04-03
14,Chester,210.0,2.0,2020-04-03
15,Clarion,4.0,0.0,2020-04-03
16,Clearfield,4.0,0.0,2020-04-03
17,Clinton,0.0,0.0,2020-04-03
18,Columbia,11.0,0.0,2020-04-03
19,Crawford,5.0,0.0,2020-04-03
20,Cumberland,41.0,1.0,2020-04-03
21,Dauphin,67.0,1.0,2020-04-03
22,Delaware,470.0,8.0,2020-04-03
23,Elk,0.0,0.0,2020-04-03
24,Erie,16.0,0.0,2020-04-03
25,Fayette,15.0,1.0,2020-04-03
26,Forest,1.0,0.0,2020-04-03
27,Franklin,23.0,0.0,2020-04-03
28,Fulton,0.0,0.0,2020-04-03
29,Greene,11.0,0.0,2020-04-03
30,Huntingdon,2.0,0.0,2020-04-03
31,Indiana,6.0,0.0,2020-04-03
32,Jefferson,0.0,0.0,2020-04-03
33,Juniata,2.0,0.0,2020-04-03
34,Lackawanna,108.0,3.0,2020-04-03
35,Lancaster,203.0,4.0,2020-04-03
36,Lawrence,16.0,2.0,2020-04-03
37,Lebanon,45.0,0.0,2020-04-03
38,Lehigh,479.0,5.0,2020-04-03
39,Luzerne,384.0,5.0,2020-04-03
40,Lycoming,7.0,0.0,2020-04-03
41,McKean,0.0,0.0,2020-04-03
42,Mercer,9.0,0.0,2020-04-03
43,Mifflin,1.0,0.0,2020-04-03
44,Monroe,321.0,10.0,2020-04-03
45,Montgomery,735.0,9.0,2020-04-03
46,Montour,15.0,0.0,2020-04-03
47,Northampton,378.0,9.0,2020-04-03
48,Northumberland,8.0,0.0,2020-04-03
49,Perry,3.0,0.0,2020-04-03
50,Philadelphia,1852.0,13.0,2020-04-03
51,Pike,68.0,1.0,2020-04-03
52,Potter,2.0,0.0,2020-04-03
53,Schuylkill,54.0,0.0,2020-04-03
54,Snyder,3.0,1.0,2020-04-03
55,Somerset,3.0,0.0,2020-04-03
56,Sullivan,0.0,0.0,2020-04-03
57,Susquehanna,3.0,0.0,2020-04-03
58,Tioga,2.0,0.0,2020-04-03
59,Union,2.0,0.0,2020-04-03
60,Venango,3.0,0.0,2020-04-03
61,Warren,1.0,0.0,2020-04-03
62,Washington,38.0,0.0,2020-04-03
63,Wayne,17.0,0.0,2020-04-03
64,Westmoreland,84.0,0.0,2020-04-03
65,Wyoming,1.0,0.0,2020-04-03
66,York,102.0,1.0,2020-04-03
