,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,38.0,1.0,2020-04-09
1,Allegheny,759.0,12.0,2020-04-09
2,Armstrong,20.0,0.0,2020-04-09
3,Beaver,129.0,13.0,2020-04-09
4,Bedford,4.0,0.0,2020-04-09
5,Berks,616.0,8.0,2020-04-09
6,Blair,6.0,0.0,2020-04-09
7,Bradford,15.0,0.0,2020-04-09
8,Bucks,871.0,23.0,2020-04-09
9,Butler,113.0,2.0,2020-04-09
10,Cambria,10.0,1.0,2020-04-09
11,Cameron,1.0,0.0,2020-04-09
12,Carbon,83.0,2.0,2020-04-09
13,Centre,59.0,0.0,2020-04-09
14,Chester,425.0,7.0,2020-04-09
15,Clarion,8.0,0.0,2020-04-09
16,Clearfield,7.0,0.0,2020-04-09
17,Clinton,4.0,0.0,2020-04-09
18,Columbia,65.0,2.0,2020-04-09
19,Crawford,13.0,0.0,2020-04-09
20,Cumberland,88.0,2.0,2020-04-09
21,Dauphin,180.0,2.0,2020-04-09
22,Delaware,1222.0,26.0,2020-04-09
23,Elk,2.0,0.0,2020-04-09
24,Erie,32.0,0.0,2020-04-09
25,Fayette,45.0,1.0,2020-04-09
26,Forest,5.0,0.0,2020-04-09
27,Franklin,52.0,0.0,2020-04-09
28,Fulton,1.0,0.0,2020-04-09
29,Greene,21.0,0.0,2020-04-09
30,Huntingdon,8.0,0.0,2020-04-09
31,Indiana,21.0,0.0,2020-04-09
32,Jefferson,1.0,0.0,2020-04-09
33,Juniata,23.0,0.0,2020-04-09
34,Lackawanna,312.0,16.0,2020-04-09
35,Lancaster,596.0,17.0,2020-04-09
36,Lawrence,37.0,2.0,2020-04-09
37,Lebanon,187.0,0.0,2020-04-09
38,Lehigh,1466.0,13.0,2020-04-09
39,Luzerne,1241.0,12.0,2020-04-09
40,Lycoming,17.0,0.0,2020-04-09
41,McKean,1.0,0.0,2020-04-09
42,Mercer,30.0,0.0,2020-04-09
43,Mifflin,10.0,0.0,2020-04-09
44,Monroe,716.0,19.0,2020-04-09
45,Montgomery,1693.0,37.0,2020-04-09
46,Montour,25.0,0.0,2020-04-09
47,Northampton,949.0,20.0,2020-04-09
48,Northumberland,24.0,0.0,2020-04-09
49,Perry,15.0,1.0,2020-04-09
50,Philadelphia,5029.0,86.0,2020-04-09
51,Pike,163.0,6.0,2020-04-09
52,Potter,3.0,0.0,2020-04-09
53,Schuylkill,149.0,1.0,2020-04-09
54,Snyder,9.0,1.0,2020-04-09
55,Somerset,7.0,0.0,2020-04-09
56,Sullivan,1.0,0.0,2020-04-09
57,Susquehanna,16.0,1.0,2020-04-09
58,Tioga,10.0,0.0,2020-04-09
59,Union,11.0,0.0,2020-04-09
60,Venango,5.0,0.0,2020-04-09
61,Warren,1.0,0.0,2020-04-09
62,Washington,63.0,0.0,2020-04-09
63,Wayne,49.0,0.0,2020-04-09
64,Westmoreland,190.0,1.0,2020-04-09
65,Wyoming,6.0,0.0,2020-04-09
66,York,250.0,3.0,2020-04-09
